"transcript","gene","bp","all","synonymous","missense","nonsense","splice-site","frame-shift","F","M","P_LGDS","P_MISSENSE","P_SYNONYMOUS"
"NM_032852","ATG4C",1377,-4.8024,-5.3944,-4.9814,-6.0551,-6.4008,-6.0594,2,2,2.15038823463E-06,1.04375843932E-05,4.03273792976E-06
"NM_000186","CFH",3696,-4.3277,-4.9202,-4.497,-5.6772,-5.987,-5.6306,2,2,5.47418833717E-06,0.000031842,1.20171089885E-05
"NM_001531","MR1",1026,-4.8307,-5.3736,-5.0208,-6.1996,-6.4636,-6.1872,2,2,1.62524363109E-06,9.53235043921E-06,4.23058085777E-06
"NM_001040709","SYPL2",819,-4.9422,-5.4584,-5.1305,-6.4362,-6.804,-6.285,2,2,1.04210518212E-06,7.40457267451E-06,3.48016632215E-06
"NM_000449","RFX5",1851,-4.5877,-5.1853,-4.7514,-5.9633,-6.3271,-5.9309,2,2,2.73151234374E-06,1.77255614428E-05,6.52679541837E-06
"NM_001010867","IBA57",1071,-4.8312,-5.3391,-5.0226,-6.2279,-7.1937,-6.1685,2,2,1.33413767259E-06,9.49292391384E-06,4.58036407791E-06
"NM_001004341","ETV3L",1086,-4.7905,-5.3162,-4.9799,-6.2213,-6.5505,-6.1625,2,2,1.5701325186E-06,1.04736968607E-05,4.82836396455E-06
"NM_006559","KHDRBS1",1332,-4.7435,-5.2958,-4.917,-6.2688,-6.4777,-6.0738,2,2,1.71513036497E-06,0.000012106,5.06057656513E-06
"NM_017953","ZNHIT6",1413,-4.7208,-5.3015,-4.891,-6.1182,-6.4056,-6.0482,2,2,2.04968741158E-06,1.28528665994E-05,4.99459180208E-06
"NM_025150","TARS2",2157,-4.4614,-5.046,-4.6324,-5.8313,-6.1195,-5.8645,2,2,3.60029400168E-06,2.33130985742E-05,0.000008995
"NM_002060","GJA4",1002,-4.7219,-5.2533,-4.8939,-6.2367,-7.7735,-6.1974,2,2,1.23142125397E-06,1.27673275355E-05,5.58084550405E-06
"NM_005266","GJA5",1077,-4.7498,-5.3116,-4.9152,-6.1455,-7.7632,-6.1661,2,2,1.41475142499E-06,1.21562605524E-05,4.87977727286E-06
"NM_005267","GJA8",1302,-4.6079,-5.0849,-4.8007,-6.2422,-7.7004,-6.0837,2,2,1.41717417009E-06,1.58234070407E-05,8.22432000113E-06
"NM_030772","GJA9",1548,-4.7373,-5.3119,-4.9007,-6.0812,-7.6329,-6.0085,2,2,1.83337328324E-06,0.000012569,4.87640760612E-06
"NM_020365","EIF2B3",1359,-4.755,-5.3546,-4.9214,-6.1458,-6.355,-6.0651,2,2,2.01719141079E-06,0.000011984,4.41977336116E-06
"NM_006472","TXNIP",1176,-4.7775,-5.3688,-4.9471,-6.1057,-6.5045,-6.1279,2,2,1.84184252543E-06,1.1295357995E-05,4.27759831482E-06
"NM_001013615","LURAP1",720,-4.9046,-5.4201,-5.0912,-6.3117,-7.3395,-6.341,2,2,9.89663768637E-07,8.10587682465E-06,0.000003801
"NM_005666","CFHR2",813,-5.016,-5.6186,-5.1838,-6.3186,-6.7579,-6.2882,2,2,1.16978934962E-06,6.54937714593E-06,2.40657832011E-06
"NM_001048183","PHACTR4",2109,-4.5443,-5.1383,-4.7129,-5.9095,-6.1837,-5.8742,2,2,3.22275465595E-06,1.93686789292E-05,7.27277245656E-06
"NM_013943","CLIC4",762,-5.0123,-5.5432,-5.1918,-6.7125,-6.6602,-6.3164,2,2,8.95154792308E-07,6.42983754108E-06,2.86285927087E-06
"NM_002113","CFHR1",993,-4.8739,-5.5003,-5.0397,-6.1435,-6.4717,-6.2014,2,2,1.68506819051E-06,9.12641051768E-06,3.16009399045E-06
"NM_001201550","CFHR4",1737,-4.9126,-5.482,-5.0935,-6.284,-6.481,-5.9585,2,2,1.95063738287E-06,8.06306201355E-06,3.29609712177E-06
"NM_030787","CFHR5",1710,-4.6678,-5.2449,-4.8445,-5.9617,-6.4276,-5.9653,2,2,0.000002549,1.43053998082E-05,5.68983929153E-06
"NM_006085","BPNT1",927,-4.9157,-5.4984,-5.0964,-6.1967,-6.5091,-6.2312,2,2,1.53265943792E-06,8.00940030533E-06,3.17394940856E-06
"NM_001229","CASP9",1251,-4.738,-5.2573,-4.9234,-6.3082,-6.5051,-6.1011,2,2,1.59666783094E-06,1.19288890706E-05,5.52968000493E-06
"NM_002585","PBX1",1293,-4.7252,-5.2555,-4.9156,-6.1102,-6.4815,-6.0867,2,2,1.92490949073E-06,1.21450693772E-05,5.5526461712E-06
"NM_199044","NSUN4",1155,-4.7611,-5.3514,-4.9422,-6.0133,-6.3348,-6.1357,2,2,2.16407810992E-06,1.14235214104E-05,4.45245972792E-06
"NM_001009611","PRAMEF4",1437,-4.7421,-5.3115,-4.899,-6.299,-7.0369,-6.0409,2,2,1.50431980902E-06,1.26182753459E-05,4.88090101248E-06
"NM_001010889","PRAMEF6",1431,-4.743,-5.3035,-4.9033,-6.304,-7.0369,-6.0427,2,2,1.49480520388E-06,0.000012494,4.97164373725E-06
"NM_001012277","PRAMEF7",1425,-4.7153,-5.2546,-4.8841,-6.2767,-7.0374,-6.0445,2,2,1.52316883943E-06,1.30587016579E-05,5.56416499873E-06
"NM_023013","PRAMEF1",1425,-4.7101,-5.2576,-4.8759,-6.2587,-7.0374,-6.0445,2,2,1.54554673683E-06,1.3307608017E-05,5.5258615563E-06
"NM_023014","PRAMEF2",1425,-4.7189,-5.2284,-4.902,-6.2593,-7.0374,-6.0445,2,2,1.54478576781E-06,1.25314117494E-05,5.9101703661E-06
"NM_001013692","PRAMEF3",1446,-4.7012,-5.2728,-4.857,-6.26,-7.0402,-6.0381,2,2,1.55670951466E-06,1.38995263121E-05,5.33580561846E-06
"NM_001166292","PTCH2",3441,-4.2495,-4.7629,-4.4327,-5.9165,-6.0482,-5.6616,2,2,4.28666165968E-06,3.69232567319E-05,1.72623532661E-05
"NM_001010890","PRAMEF9",1437,-4.7378,-5.3095,-4.8964,-6.2337,-7.0368,-6.0409,2,2,1.5858466453E-06,0.000012694,4.90343022792E-06
"NM_001080418","DLGAP3",2940,-4.2597,-4.7773,-4.435,-5.9245,-6.4455,-5.73,2,2,3.4104674141E-06,3.67282300498E-05,1.66993666442E-05
"NM_001242810","BRDT",2625,-4.5069,-5.0963,-4.6754,-5.8917,-6.154,-5.7792,2,2,3.64731878657E-06,2.11154334066E-05,8.01124475025E-06
"NM_001286","CLCN6",2610,-4.3199,-4.8416,-4.5083,-5.8412,-6.0056,-5.7817,2,2,4.08174301406E-06,3.10241577487E-05,1.44012437118E-05
"NM_012333","MYCBP",312,-5.4728,-6.0768,-5.6418,-7.0354,-6.8877,-6.7042,2,2,4.19287166932E-07,2.28139245017E-06,8.37915067438E-07
"NM_005401","PTPN14",3564,-4.2122,-4.7499,-4.3952,-5.5934,-6.125,-5.6464,2,2,5.55760118063E-06,4.02531618974E-05,1.77868892115E-05
"NM_145729","MRPL24",651,-4.9734,-5.6004,-5.1331,-6.246,-6.7531,-6.3847,2,2,1.15649001196E-06,7.36037599061E-06,2.5095739637E-06
"NM_017971","MRPL20",450,-5.0713,-5.6172,-5.2746,-6.3189,-6.587,-6.5451,2,2,1.02370140277E-06,5.31373632119E-06,2.41434872971E-06
"NM_033067","DMRTB1",1029,-4.7701,-5.2215,-4.9793,-6.481,-6.8686,-6.1859,2,2,1.11747983953E-06,1.04881768077E-05,6.00482008908E-06
"NM_005626","SRSF4",1485,-4.5571,-5.2476,-4.6903,-5.8425,-6.6601,-6.0266,2,2,2.5964580729E-06,2.04032804908E-05,5.65457540688E-06
"NM_004284","CHD1L",2694,-4.4879,-5.0821,-4.6644,-5.8219,-5.9746,-5.7679,2,2,4.27365907278E-06,2.16570849471E-05,8.27751544931E-06
"NM_024554","PGBD5",1368,-4.5787,-5.0734,-4.7715,-6.1409,-6.5754,-6.0622,2,2,1.8553265206E-06,1.69238824444E-05,0.000008445
"NM_170725","PGBD2",1779,-4.6024,-5.1852,-4.7602,-5.9931,-7.3512,-5.9481,2,2,2.18749776548E-06,0.00001737,6.52829844159E-06
"NM_001123068","PPIAL4G",495,-5.1569,-5.7478,-5.3056,-6.7064,-7.6597,-6.5037,2,2,0.000000532,4.94766173682E-06,1.78731047225E-06
"NM_003516","HIST2H2AA3",393,-4.9585,-5.438,-5.1516,-6.5737,-7.7588,-6.6039,2,2,5.33239288547E-07,7.05342414258E-06,3.64753946926E-06
"NM_001040874","HIST2H2AA4",393,-4.9585,-5.438,-5.1516,-6.5737,-7.7588,-6.6039,2,2,5.33239288547E-07,7.05342414258E-06,3.64753946926E-06
"NM_182976","ZNF326",1749,-4.6342,-5.2545,-4.7997,-5.8794,-6.3356,-5.9555,2,2,2.88972046104E-06,1.58598837611E-05,5.56544634258E-06
"NM_052841","TSSK3",807,-4.914,-5.4467,-5.0822,-6.5647,-7.3459,-6.2914,2,2,8.28761101531E-07,8.27560970035E-06,3.57519718745E-06
"NM_003132","SRM",909,-4.7499,-5.2307,-4.9533,-6.3545,-6.5028,-6.2397,2,2,1.33211221983E-06,1.11352507199E-05,0.000005879
"NM_006499","LGALS8",1080,-4.8099,-5.3598,-4.9902,-6.3202,-6.4012,-6.1649,2,2,1.55948754577E-06,1.02282185693E-05,4.36716901504E-06
"NM_024595","AKIRIN1",579,-5.3048,-5.9843,-5.4698,-6.4498,-6.8229,-6.4356,2,2,8.72100867784E-07,0.00000339,1.03681196406E-06
"NM_000427","LOR",939,-5.2083,-5.6128,-5.4424,-7.0196,-7.7457,-6.2256,2,2,7.0838676939E-07,3.610771451E-06,2.43893373028E-06
"NM_020888","KIAA1522",3285,-4.2675,-4.8138,-4.4297,-5.915,-6.6099,-5.6818,2,2,3.54236806387E-06,3.71791965204E-05,1.53532386279E-05
"NM_014873","LPGAT1",1113,-4.8826,-5.4997,-5.0508,-6.1209,-6.5716,-6.1518,2,2,1.73018855583E-06,8.89610704409E-06,3.16446283884E-06
"NM_006335","TIMM17A",516,-5.1412,-5.7393,-5.337,-6.2532,-6.6567,-6.4857,2,2,1.10547144955E-06,4.60256573581E-06,1.82263623486E-06
"NM_002642","PIGC",894,-4.9356,-5.5446,-5.0849,-6.3139,-7.6695,-6.247,2,2,0.000001073,8.22432000113E-06,2.853645362E-06
"NM_005482","PIGK",1188,-4.7902,-5.3891,-4.9582,-6.1738,-6.3703,-6.1235,2,2,0.000001849,1.10103214873E-05,4.08225378143E-06
"NM_145167","PIGM",1272,-4.6547,-5.1542,-4.8356,-6.3066,-7.7333,-6.0938,2,2,1.31785757646E-06,1.46015849681E-05,7.01132340687E-06
"NM_002644","PIGR",2295,-4.4226,-4.9161,-4.6166,-5.9662,-6.4175,-5.8375,2,2,2.91710468648E-06,2.41768658093E-05,1.21310948952E-05
"NM_001202554","PIGV",1482,-4.7143,-5.2556,-4.8907,-6.1112,-7.049,-6.0275,2,2,1.80207781212E-06,1.28617481124E-05,5.55136777435E-06
"NM_005839","SRRM1",2715,-4.3455,-4.9848,-4.5081,-5.5333,-6.0973,-5.7645,2,2,0.000005448,3.10384481916E-05,1.03561897704E-05
"NM_000478","ALPL",1575,-4.5087,-4.98,-4.715,-6.1781,-6.2471,-6.001,2,2,2.22739924196E-06,1.92752491319E-05,1.04712854805E-05
"NM_000963","PTGS2",1815,-4.6328,-5.2251,-4.798,-6.0472,-6.3044,-5.9394,2,2,2.54289171258E-06,1.59220872705E-05,5.95525003041E-06
"NM_002529","NTRK1",2391,-4.4011,-4.9212,-4.5809,-6.1313,-6.1431,-5.8197,2,2,0.000002973,2.62482286161E-05,1.19894704048E-05
"NM_018364","RSBN1",2409,-4.3885,-4.9362,-4.5668,-5.7218,-6.5758,-5.8165,2,2,0.000003689,2.71144000869E-05,1.15824384232E-05
"NM_005665","EVI5",2433,-4.5227,-5.1215,-4.695,-5.8215,-6.1305,-5.8122,2,2,3.7897905151E-06,2.01836636368E-05,7.55962060339E-06
"NM_004815","ARHGAP29",3786,-4.3428,-4.9443,-4.51,-5.6568,-6.0348,-5.6201,2,2,5.52521819757E-06,0.000030903,1.13684171209E-05
"NM_018194","HHAT",1482,-4.637,-5.152,-4.8389,-5.9696,-6.3531,-6.0275,2,2,2.45465521331E-06,1.449105484E-05,7.04693068967E-06
"NM_001143912","FAM76A",1026,-4.9885,-5.5941,-5.161,-6.3376,-6.4782,-6.1872,2,2,0.000001442,6.9023980384E-06,2.54624389076E-06
"NM_001085487","MYSM1",2487,-4.5049,-5.1098,-4.6792,-5.7975,-6.0216,-5.8026,2,2,0.000004121,2.09314830345E-05,0.000007766
"NM_016076","PPPDE1",585,-5.0671,-5.5858,-5.2619,-6.5147,-6.7555,-6.4312,2,2,8.51803356421E-07,5.47141932476E-06,2.59537430099E-06
"NM_005281","GPR3",993,-4.7909,-5.3065,-4.9659,-6.408,-7.7045,-6.2014,2,2,1.03951449775E-06,1.08168298934E-05,4.9374191825E-06
"NM_001105556","C1ORF38",1932,-4.5418,-5.0871,-4.7061,-6.1883,-6.6996,-5.9123,2,2,2.07166717055E-06,1.96743321931E-05,8.18276351348E-06
"NM_001206641","C1ORF31",240,-5.5787,-6.1865,-5.7529,-6.8036,-7.3516,-6.8181,2,2,3.53704825588E-07,1.76644451274E-06,6.5087861084E-07
"NM_024319","C1ORF35",792,-4.92,-5.4427,-5.1028,-6.6188,-6.5853,-6.2996,2,2,0.000001002,7.8922348479E-06,3.60827807973E-06
"NM_017673","SWT1",2703,-4.5203,-5.1191,-4.6895,-5.9018,-6.0621,-5.7665,2,2,3.83246585077E-06,2.044089936E-05,7.60151225499E-06
"NM_182663","RASSF5",1257,-4.7887,-5.3183,-4.974,-6.2158,-6.6524,-6.099,2,2,1.62721283566E-06,0.000010617,4.8050731109E-06
"NM_001037317","LPPR5",966,-4.7881,-5.3002,-4.9907,-6.1583,-6.4692,-6.2133,2,2,1.64594082409E-06,1.02164496736E-05,5.00956481513E-06
"NM_014839","LPPR4",2292,-4.5328,-5.0883,-4.7055,-5.9191,-6.6175,-5.8381,2,2,2.89780395082E-06,1.97015320722E-05,8.1601849102E-06
"NM_015557","CHD5",5865,-3.9576,-4.4456,-4.1564,-5.5701,-5.7132,-5.43,2,2,8.34179783143E-06,0.000069759,3.58426408044E-05
"NM_006367","CAP1",1428,-4.6999,-5.248,-4.8874,-6.0738,-6.315,-6.0436,2,2,2.23237773384E-06,1.29598507476E-05,5.64936974812E-06
"NM_004623","TTC4",1164,-4.8258,-5.3917,-5.0092,-6.1822,-6.3955,-6.1324,2,2,1.79683360856E-06,9.79039017448E-06,4.05788747592E-06
"NM_012414","RAB3GAP2",4182,-4.2902,-4.868,-4.4725,-5.6174,-5.8015,-5.5769,2,2,6.64177579326E-06,3.36899215741E-05,1.35518941235E-05
"NM_022114","PRDM16",3831,-4.0851,-4.5351,-4.2937,-5.818,-6.1886,-5.615,2,2,4.59489655551E-06,5.08510587935E-05,2.91675532894E-05
"NM_005373","MPL",1908,-4.6145,-5.1738,-4.8031,-5.8555,-6.3495,-5.9177,2,2,3.05060826101E-06,1.57362048324E-05,6.70193173724E-06
"NM_000530","MPZ",747,-4.873,-5.3795,-5.0606,-6.5613,-6.6439,-6.325,2,2,9.7478967879E-07,8.69761140103E-06,4.17349598465E-06
"NM_001009999","KDM1A",2631,-4.4644,-5.0464,-4.6398,-5.7928,-6.102,-5.7782,2,2,4.06854575732E-06,2.29192287927E-05,8.98669495048E-06
"NM_004106","FCER1G",261,-5.4309,-5.9617,-5.6674,-6.5762,-6.7469,-6.7817,2,2,6.09750488336E-07,2.1507998623E-06,1.09219453719E-06
"NM_002001","FCER1A",774,-5.0523,-5.608,-5.2318,-6.4801,-6.7412,-6.3096,2,2,1.00275299258E-06,5.86408153276E-06,0.000002466
"NM_006763","BTG2",477,-5.1127,-5.5855,-5.3081,-6.7991,-7.7168,-6.5198,2,2,4.80147904652E-07,4.91926252434E-06,2.5971677414E-06
"NM_020435","GJC2",1320,-4.6498,-5.1205,-4.8412,-6.4401,-7.6209,-6.0777,2,2,1.22311356335E-06,1.44145138576E-05,0.000007577
"NM_002731","PRKACB",1056,-4.8815,-5.4597,-5.0611,-6.2512,-6.3922,-6.1746,2,2,1.63507126687E-06,8.68760366787E-06,3.46976450529E-06
"NM_002796","PSMB4",795,-4.7865,-5.3169,-4.975,-6.1887,-6.5769,-6.2979,2,2,1.41611736275E-06,1.05925372518E-05,4.82058782984E-06
"NM_002794","PSMB2",606,-4.9789,-5.5375,-5.1633,-6.3057,-6.6515,-6.4158,2,2,1.10163647333E-06,6.86593993837E-06,2.90068119869E-06
"NM_002245","KCNK1",1011,-4.7359,-5.2203,-4.9279,-6.3575,-7.0578,-6.1936,2,2,1.1668988714E-06,1.18059244581E-05,6.02143496387E-06
"NM_015378","VPS13D",13167,-3.7346,-4.3027,-3.9089,-5.0991,-5.5055,-5.0788,2,2,1.94228948709E-05,0.0001233389,4.98081028357E-05
"NM_001130042","CRYZ",990,-4.9121,-5.4971,-5.0949,-6.1638,-6.5134,-6.2027,2,2,1.61947050348E-06,8.03711162215E-06,3.18346441756E-06
"NM_022159","ELTD1",2073,-4.6262,-5.1986,-4.796,-6.1414,-6.2299,-5.8817,2,2,2.62419031945E-06,1.59955802861E-05,6.32994592538E-06
"NM_006556","PMVK",579,-4.9488,-5.4992,-5.122,-6.4777,-6.7502,-6.4356,2,2,8.77410724422E-07,7.55092227665E-06,3.16810815933E-06
"NM_018203","KLHDC8A",1053,-4.6469,-5.1716,-4.8281,-6.12,-6.7514,-6.1759,2,2,1.60279351428E-06,1.48559353235E-05,0.000006736
"NM_024529","CDC73",1596,-4.6314,-5.2533,-4.8124,-5.7787,-6.1547,-5.9953,2,2,3.37576861004E-06,1.54028114807E-05,5.58084550405E-06
"NM_001010980","C1ORF130",309,-5.2738,-5.78,-5.4655,-6.9007,-7.0643,-6.7084,2,2,4.07632186883E-07,3.42373387626E-06,1.65958690744E-06
"NM_004261","SEPT15",498,-5.1395,-5.6352,-5.3258,-6.7729,-99,-6.5011,2,2,4.84121965363E-07,4.72280484392E-06,2.31632769599E-06
"NM_024037","C1ORF135",1074,-4.9009,-5.4413,-5.0801,-6.2782,-7.0613,-6.1673,2,2,1.29412241926E-06,8.31572272465E-06,3.61992856224E-06
"NM_006893","EIF2D",1755,-4.6183,-5.1654,-4.8119,-5.9273,-6.2036,-5.954,2,2,2.9197051124E-06,1.54205548347E-05,6.83282031369E-06
"NM_002557","OVGP1",2037,-4.5649,-5.1179,-4.7347,-6.139,-6.3501,-5.8893,2,2,0.000002463,1.842044001E-05,7.62254505406E-06
"NM_000792","DIO1",750,-4.981,-5.5495,-5.1508,-6.4083,-6.8736,-6.3233,2,2,9.99360708437E-07,7.06642900425E-06,2.82162958309E-06
"NM_002107","H3F3A",411,-5.0754,-5.7684,-5.1925,-6.7388,-7.0573,-6.5845,2,2,5.30428588177E-07,6.41948221508E-06,1.70451175247E-06
"NM_012474","UCK2",786,-4.8588,-5.3751,-5.0461,-6.4368,-6.6023,-6.3029,2,2,1.11347677746E-06,8.99290488401E-06,0.000004216
"NM_014280","DNAJC8",762,-4.9527,-5.5607,-5.1352,-6.1569,-6.4457,-6.3164,2,2,1.53774491684E-06,7.32487132665E-06,2.7497929869E-06
"NM_203459","CAMSAP2",4437,-4.2638,-4.8624,-4.425,-5.6152,-6.1502,-5.5512,2,2,5.9437188958E-06,3.75837404288E-05,1.37277701821E-05
"NM_001256864","DNAJC6",2913,-4.4381,-4.9957,-4.6184,-5.8231,-6.1126,-5.734,2,2,4.11942513836E-06,2.40768684561E-05,1.00995029412E-05
"NM_002959","SORT1",2496,-4.5221,-5.0907,-4.7016,-5.9173,-6.0867,-5.8011,2,2,3.60967651502E-06,1.98792502104E-05,8.11521443435E-06
"NM_016052","RRP15",849,-4.9533,-5.5174,-5.1181,-6.5527,-6.7494,-6.2694,2,2,9.95939580672E-07,0.000007619,3.03808555647E-06
"NM_001010935","RAP1A",555,-5.1077,-5.6497,-5.2999,-6.5032,-6.6629,-6.454,2,2,8.82786869382E-07,0.000005013,2.24026812659E-06
"NM_018372","LRIF1",2310,-4.5711,-5.126,-4.7396,-6.0012,-6.8704,-5.8347,2,2,2.59520037273E-06,1.8213776371E-05,7.48169500511E-06
"NM_206996","SPAG17",6672,-4.1003,-4.6896,-4.2711,-5.4801,-5.6886,-5.3741,2,2,9.58459221942E-06,5.35673299976E-05,2.04361932108E-05
"NM_001460","FMO2",1416,-4.7289,-5.313,-4.8921,-6.1794,-6.5216,-6.0472,2,2,1.85950709664E-06,1.28203534912E-05,4.86407205691E-06
"NM_212503","CDK18",1515,-4.5852,-5.1346,-4.7603,-6.1495,-6.2497,-6.0179,2,2,2.23111278457E-06,0.000017366,0.000007335
"NM_001126060","NOS1AP",636,-4.8786,-5.3091,-5.0988,-6.5228,-7.3571,-6.3949,2,2,7.4680821616E-07,7.96526079784E-06,4.9079485345E-06
"NM_020248","CTNNBIP1",246,-5.2695,-5.7746,-5.4794,-6.7664,-6.724,-6.8074,2,2,5.15848753351E-07,3.31588912191E-06,1.68035096605E-06
"NM_006369","LRRC41",2439,-4.4242,-5.0433,-4.5714,-5.871,-6.3974,-5.8111,2,2,3.29125670228E-06,2.68287229067E-05,9.05107159028E-06
"NM_017768","LRRC40",1809,-4.6307,-5.1991,-4.8145,-5.9479,-6.2146,-5.9409,2,2,2.88333232887E-06,1.53285120636E-05,6.3226624993E-06
"NM_001256409","LRRC42",1287,-4.7663,-5.3363,-4.9426,-6.087,-6.5758,-6.0887,2,2,1.89931487781E-06,0.000011413,0.00000461
"NM_006983","MMP23B",1173,-4.6718,-5.1694,-4.8569,-6.4189,-6.657,-6.129,2,2,1.34446536135E-06,1.39027271648E-05,6.77017664052E-06
"NM_020710","LRRC47",1752,-4.6017,-5.0995,-4.7885,-6.293,-6.5786,-5.9548,2,2,1.88289266336E-06,1.62742131564E-05,7.95243265533E-06
"NM_001171941","FNDC5",462,-5.1555,-5.7287,-5.3104,-6.8513,-7.0517,-6.5337,2,2,5.22225769034E-07,4.89327924082E-06,1.86766938564E-06
"NM_001144937","FNDC7",2202,-4.711,-5.2545,-4.8899,-6.1825,-6.4959,-5.8555,2,2,2.37089005596E-06,1.28854621627E-05,5.56544634258E-06
"NM_022078","GPATCH3",1578,-4.5382,-5.1167,-4.6976,-6.0169,-6.5726,-6.0002,2,2,2.22892025956E-06,2.00631906479E-05,7.64363604926E-06
"NM_000858","GUK1",594,-4.8644,-5.3383,-5.0708,-6.7619,-6.4096,-6.4245,2,2,9.38695457149E-07,8.49571627156E-06,4.5888091962E-06
"NM_017818","WRAP73",1383,-4.5506,-5.0218,-4.76,-6.1233,-6.3128,-6.0575,2,2,2.11545831755E-06,0.000017378,9.51042664157E-06
"NM_020127","TUFT1",1173,-4.7693,-5.3238,-4.9491,-6.2607,-6.3451,-6.129,2,2,1.74342688264E-06,1.12434605391E-05,4.74460432061E-06
"NM_001128425","MUTYH",1650,-4.5585,-5.1434,-4.7264,-5.9977,-6.1866,-5.9808,2,2,2.70124019324E-06,1.87758669892E-05,7.18786646069E-06
"NM_001136504","SYT2",1260,-4.7126,-5.2089,-4.9032,-6.4377,-6.4991,-6.0979,2,2,1.48006822328E-06,1.24968339721E-05,6.18158720058E-06
"NM_001253772","SYT6",1533,-4.6876,-5.253,-4.8459,-6.3593,-6.6507,-6.0128,2,2,1.63168855177E-06,1.42593588968E-05,5.58470194737E-06
"NM_016124","RHD",1254,-4.7067,-5.1996,-4.9081,-6.3511,-6.2865,-6.1,2,2,1.75689313676E-06,1.23566287879E-05,6.31538745374E-06
"NM_003902","FUBP1",1935,-4.5919,-5.1891,-4.7645,-5.9656,-6.0845,-5.9116,2,2,3.13136491658E-06,1.71988734124E-05,6.46993622809E-06
