"gene","gene_upper","codingLenInTarget"
"GRAMD2","GRAMD2",1065
"HECTD1","HECTD1",7833
"HOXD1","HOXD1",987
"IFI30","IFI30",753
"IFI44L","IFI44L",1359
"IFNA10","IFNA10",570
"IFT88","IFT88",2502
"IL17RA","IL17RA",2601
"IL3","IL3",459
"JAKMIP1","JAKMIP1",2571
"KIAA0232","KIAA0232",4188
"KIAA1731","KIAA1731",7806
"KIR2DL2","KIR2DL2",1047
"KLB","KLB",3135
"KLHDC10","KLHDC10",1329
"KMT2A","KMT2A",11919
"LARP4B","LARP4B",2217
"LRRFIP1","LRRFIP1",3527
"LTN1","LTN1",5439
"MAP3K14","MAP3K14",2843
"MEGF6","MEGF6",4626
"MEMO1","MEMO1",894
"MFSD3","MFSD3",1239
"MLANA","MLANA",357
"MORC3","MORC3",2820
"MOV10","MOV10",3012
"MUC21","MUC21",1445
"MYH2","MYH2",5826
"NACC1","NACC1",1584
"NAPRT1","NAPRT1",1617
"NDST4","NDST4",2619
"NEDD9","NEDD9",2583
"NFE2L3","NFE2L3",2085
"NFKBIL1","NFKBIL1",222
"NIN","NIN",6546
"NINL","NINL",4149
"NMT1","NMT1",1491
"NUDT17","NUDT17",987
"NXPE4","NXPE4",1635
"OLFM3","OLFM3",1377
"OR2T10","OR2T10",939
"OR4C11","OR4C11",933
"OR52M1","OR52M1",954
"P2RX5","P2RX5",1269
"PARD3B","PARD3B",3618
"PAX5","PAX5",1207
"PCDHA13","PCDHA13",2883
"PCOLCE","PCOLCE",1350
"PCSK2","PCSK2",1917
"PER2","PER2",3768
"PFKFB2","PFKFB2",1584
"PFKL","PFKL",2343
"PLCD4","PLCD4",2289
"PLEKHO1","PLEKHO1",1230
"POLRMT","POLRMT",3693
"PRSS38","PRSS38",981
"PSD3","PSD3",3176
"PSMD12","PSMD12",1371
"PTPN13","PTPN13",7473
"RAB2A","RAB2A",639
"RAD21L1","RAD21L1",1671
"RCBTB1","RCBTB1",1596
"REXO1","REXO1",3666
"RIPPLY1","RIPPLY1",456
"RNF146","RNF146",1078
"RNF213","RNF213",15792
"RPAP1","RPAP1",4182
"RPS6KA3","RPS6KA3",2223
"RUNDC1","RUNDC1",1842
"RUNDC3B","RUNDC3B",1422
"S100G","S100G",240
"SCAMP2","SCAMP2",990
"SCNN1D","SCNN1D",2132
"SCP2","SCP2",1664
"SDCCAG3","SDCCAG3",1308
"SH2B1","SH2B1",2424
"SIK3","SIK3",3812
"SLC25A39","SLC25A39",1080
"SLC25A6","SLC25A6",1794
"SLC38A3","SLC38A3",1515
"SLC6A8","SLC6A8",1908
"SLC7A7","SLC7A7",1536
"SMAP2","SMAP2",1290
"SORBS1","SORBS1",3939
"SPATA13","SPATA13",3834
"SPDYC","SPDYC",882
"SPINK5","SPINK5",3297
"STAM","STAM",1623
"STARD10","STARD10",876
"SUCLG2","SUCLG2",1299
"TBC1D23","TBC1D23",2055
"THAP5","THAP5",1188
"THSD7A","THSD7A",4974
"TM4SF19","TM4SF19",650
"TNFRSF8","TNFRSF8",1788
"TOR1AIP2","TOR1AIP2",1809
"TPTE","TPTE",1656
"TRIM17","TRIM17",1583
"TRPM5","TRPM5",3498
"TSPAN17","TSPAN17",999
"TUSC1","TUSC1",639
"TYW5","TYW5",948
"UBN2","UBN2",4044
"UGT1A1","UGT1A1",1602
"UGT1A10","UGT1A10",1593
"UGT1A3","UGT1A3",1605
"UGT1A4","UGT1A4",1605
"UGT1A5","UGT1A5",1605
"UGT1A6","UGT1A6",1599
"UGT1A7","UGT1A7",1593
"UGT1A8","UGT1A8",1593
"UGT1A9","UGT1A9",1593
"UNC79","UNC79",7377
"USP15","USP15",2859
"USP29","USP29",2769
"VAV3","VAV3",2569
"VCP","VCP",2421
"VSIG4","VSIG4",1204
"WDR33","WDR33",4416
"WNT7B","WNT7B",1050
"WNT9A","WNT9A",1098
"XKR6","XKR6",1926
"YTHDC1","YTHDC1",2184
"ZFP2","ZFP2",1386
"ZNF490","ZNF490",1590
"ZNF598","ZNF598",2715
"ZNF853","ZNF853",1980
"CREBBP","CREBBP",7329
"TRRAP","TRRAP",11513
"CHD3","CHD3",6280
"CHD4","CHD4",5739
"EP300","EP300",7245
"EP400","EP400",9372
"SETD5","SETD5",4329
"ARID1A","ARID1A",6858
"BPTF","BPTF",9141
"EHMT1","EHMT1",3942
"HCFC1","HCFC1",6108
"KDM4B","KDM4B",3291
"NCOA2","NCOA2",4395
"NSD1","NSD1",8091
"PHF12","PHF12",3041
"PHF20","PHF20",3039
"SAP130","SAP130",3252
"SMARCA4","SMARCA4",5049
"ARID2","ARID2",5508
"DIDO1","DIDO1",6853
"NCOA1","NCOA1",4371
"RPH3A","RPH3A",2085
"BAZ2A","BAZ2A",5718
"BRD4","BRD4",4100
"CBX6","CBX6",1239
"CHD5","CHD5",5865
"CHD6","CHD6",8148
"EHMT2","EHMT2",842
"HDAC4","HDAC4",3255
"HDAC5","HDAC5",3372
"KDM5C","KDM5C",4777
"NUP98","NUP98",5475
"SMARCA2","SMARCA2",4773
"SMARCC2","SMARCC2",3738
"SUPT6H","SUPT6H",5181
"TCF20","TCF20",5901
"USP22","USP22",1578
"TRIO","TRIO",9294
"CLASP1","CLASP1",4665
"TSC2","TSC2",5424
"BIRC6","BIRC6",14574
"CAMSAP1","CAMSAP1",4809
"DICER1","DICER1",5769
"EIF4G2","EIF4G2",2724
"GTF3C2","GTF3C2",2736
"HNRNPUL1","HNRNPUL1",2571
"MAST2","MAST2",5397
"NCOR1","NCOR1",7351
"PCNX","PCNX",7026
"PLXNA2","PLXNA2",5685
"PRPF8","PRPF8",7008
"SRRM2","SRRM2",8259
"TLE3","TLE3",2319
"TNKS","TNKS",3984
"USP34","USP34",10641
"USP9X","USP9X",7713
"ZNF462","ZNF462",7521
"ACLY","ACLY",3306
"AFF3","AFF3",3756
"AFF4","AFF4",3492
"ARFGEF1","ARFGEF1",5550
"ARHGAP33","ARHGAP33",3401
"ATF7IP","ATF7IP",3813
"ATN1","ATN1",3573
"AUTS2","AUTS2",3921
"BMPR2","BMPR2",3117
"CAND1","CAND1",3693
"CDK5R1","CDK5R1",924
"CELSR3","CELSR3",9939
"CKAP5","CKAP5",6099
"CRMP1","CRMP1",2100
"DLG5","DLG5",5760
"DOPEY2","DOPEY2",6897
"EEF2","EEF2",2577
"FAT4","FAT4",14946
"GSK3B","GSK3B",1302
"IPO5","IPO5",3348
"KIF21B","KIF21B",4875
"MAGED1","MAGED1",2505
"MAP1B","MAP1B",7407
"MED14","MED14",4365
"MMP24","MMP24",1938
"MTMR4","MTMR4",3588
"NAV1","NAV1",5687
"NCAM1","NCAM1",2762
"NCOA6","NCOA6",6192
"PACS1","PACS1",2892
"PTPRS","PTPRS",5847
"PUM1","PUM1",3567
"PUM2","PUM2",3195
"RC3H2","RC3H2",3654
"RPRD2","RPRD2",4386
"RUSC1","RUSC1",2859
,"",1119
"SLC12A6","SLC12A6",3571
"SMG1","SMG1",9725
"TRIM2","TRIM2",2316
"TRIM32","TRIM32",1962
"TRO","TRO",4431
"TTC3","TTC3",6078
"UBA1","UBA1",3177
"WDR6","WDR6",3456
"ZCCHC14","ZCCHC14",2850
"ZMIZ1","ZMIZ1",3204
"FAT3","FAT3",13674
"PTEN","PTEN",1212
"SLC6A1","SLC6A1",1800
"SYNE1","SYNE1",26488
"ABR","ABR",2715
"ADCY5","ADCY5",3786
"AGAP2","AGAP2",3739
"ANK3","ANK3",13459
"GNAS","GNAS",3994
"HERC1","HERC1",14586
"LRP1","LRP1",13635
"MICAL2","MICAL2",3375
"NAV2","NAV2",7568
"SASH1","SASH1",3744
"SBF1","SBF1",5682
"SETX","SETX",8034
"SLITRK5","SLITRK5",2877
"SRGAP3","SRGAP3",3331
"UBE3C","UBE3C",3252
"ABCA2","ABCA2",7467
"ABCG1","ABCG1",2160
"ADAP1","ADAP1",1125
"AGAP1","AGAP1",2574
"ALS2","ALS2",5052
"ANKRD17","ANKRD17",7812
"AP3D1","AP3D1",3646
"APBA1","APBA1",2514
"APC2","APC2",6912
"ARHGAP21","ARHGAP21",5877
"ARHGEF11","ARHGEF11",4689
"ARHGEF4","ARHGEF4",2165
"ATG2B","ATG2B",6237
"ATP2B2","ATP2B2",3732
"ATP2B4","ATP2B4",3796
"CACNA1E","CACNA1E",6813
"CACNA1G","CACNA1G",7155
"CAMK2A","CAMK2A",1470
"CHST2","CHST2",1593
"CIT","CIT",6084
"CNP","CNP",1266
"COBL","COBL",3786
"CPT1C","CPT1C",2412
"CUL9","CUL9",7554
"DAPK1","DAPK1",4293
"DCLK1","DCLK1",2231
"DLC1","DLC1",4668
"DLGAP2","DLGAP2",2928
"DMXL2","DMXL2",9114
"DOCK4","DOCK4",5901
"DPYSL2","DPYSL2",1719
"DYNC1H1","DYNC1H1",13941
"EEF1A2","EEF1A2",1392
"EIF4G1","EIF4G1",4803
"FAT1","FAT1",13767
"FAT2","FAT2",13050
"GCN1L1","GCN1L1",8016
"GNAO1","GNAO1",1407
"GRAMD1B","GRAMD1B",2217
"GRIK5","GRIK5",2943
"GTF3C1","GTF3C1",6330
"HCN2","HCN2",2670
"HDLBP","HDLBP",3839
"HERC2","HERC2",14116
"HMGXB3","HMGXB3",3879
"ITPR1","ITPR1",8277
"JAK1","JAK1",3465
"JPH3","JPH3",2247
"KCNH3","KCNH3",3252
"KIF1A","KIF1A",5073
"LLGL1","LLGL1",3195
"LPIN2","LPIN2",2691
"MACF1","MACF1",16293
"MADD","MADD",4944
"MAP4","MAP4",3614
"MAPK8IP1","MAPK8IP1",2136
"MAPK8IP3","MAPK8IP3",4016
"MIB1","MIB1",3021
"MINK1","MINK1",4023
"MTOR","MTOR",7650
"MYO5A","MYO5A",5568
"MYT1L","MYT1L",3555
"NCOR2","NCOR2",7569
"NHSL1","NHSL1",5023
"NLGN3","NLGN3",2547
"NR2F1","NR2F1",1272
"NTRK2","NTRK2",2584
"PACS2","PACS2",2682
"PAK6","PAK6",2046
"PCDH1","PCDH1",3798
"PCDH7","PCDH7",3845
"PDZD2","PDZD2",8520
"PFKM","PFKM",2556
"PIKFYVE","PIKFYVE",6308
"PLXNB1","PLXNB1",6408
"PTPN11","PTPN11",1786
"PTPRF","PTPRF",5724
"RAPGEF4","RAPGEF4",3048
"RELN","RELN",10383
"RPTOR","RPTOR",4008
"RYR2","RYR2",14904
"SLC4A4","SLC4A4",3503
"SLC8A2","SLC8A2",2766
"SNAP91","SNAP91",2724
"SON","SON",7536
"SPEG","SPEG",9804
"SPTAN1","SPTAN1",7434
"SV2A","SV2A",2249
"SV2B","SV2B",2052
"SYMPK","SYMPK",3825
"SYT7","SYT7",1212
"TNIK","TNIK",4083
"TRAK1","TRAK1",3266
"TRAK2","TRAK2",2745
"TRAPPC10","TRAPPC10",3780
"TULP4","TULP4",4632
"VPS13D","VPS13D",13167
"ZEB2","ZEB2",3645
"ZHX3","ZHX3",2871
"ZMIZ2","ZMIZ2",2763
"AAK1","AAK1",2886
"AATK","AATK",4125
"ABCA3","ABCA3",5115
"ACO2","ACO2",2343
"ACTB","ACTB",1128
"ADARB1","ADARB1",2115
"ADCY1","ADCY1",3360
"ADD1","ADD1",2341
"ADRBK1","ADRBK1",2070
"AGAP3","AGAP3",2799
"AGPAT3","AGPAT3",1131
"AGRN","AGRN",6138
"AGTPBP1","AGTPBP1",3561
"AKAP6","AKAP6",6960
"AKT3","AKT3",1484
"ALDOA","ALDOA",1115
"ALDOC","ALDOC",1095
"AMPH","AMPH",2088
"ANAPC1","ANAPC1",5835
"ANK1","ANK1",6114
"ANKRD52","ANKRD52",3231
"AP1B1","AP1B1",2850
"AP2A1","AP2A1",2934
"AP2A2","AP2A2",2823
"AP2B1","AP2B1",2856
"APC","APC",8532
"APLP1","APLP1",1956
"APOE","APOE",954
"APP","APP",2313
"ARAP2","ARAP2",5115
"ARF3","ARF3",546
"ARHGAP20","ARHGAP20",3576
"ARHGAP23","ARHGAP23",4223
"ARHGAP32","ARHGAP32",6264
"ARHGEF12","ARHGEF12",4635
"ARHGEF17","ARHGEF17",6192
"ARHGEF2","ARHGEF2",2961
"ARHGEF7","ARHGEF7",2690
"ARNT2","ARNT2",2154
"ARPP21","ARPP21",2448
"ARRB1","ARRB1",1257
"ATG2A","ATG2A",5817
"ATG9A","ATG9A",2520
"ATMIN","ATMIN",2472
"ATP13A2","ATP13A2",3779
"ATP1A2","ATP1A2",3063
"ATP1A3","ATP1A3",3069
"ATP2A2","ATP2A2",3143
"ATP5A1","ATP5A1",1662
"ATP5B","ATP5B",1590
"ATP6V0A1","ATP6V0A1",2535
"ATP6V0D1","ATP6V0D1",1056
"ATP6V1B2","ATP6V1B2",1536
"ATP9A","ATP9A",3144
"ATXN1","ATXN1",2448
"B3GAT1","B3GAT1",1005
"BAI2","BAI2",4758
"BAP1","BAP1",2190
"BCAN","BCAN",2810
"BCL9L","BCL9L",4500
"BCR","BCR",3816
"BRSK1","BRSK1",2337
"BRSK2","BRSK2",2007
"BSN","BSN",11781
"BZRAP1","BZRAP1",5574
"C2CD2L","C2CD2L",2124
"CABIN1","CABIN1",6663
"CACNA1A","CACNA1A",7631
"CACNA1B","CACNA1B",7020
"CACNA1I","CACNA1I",6672
"CACNB1","CACNB1",2057
"CACNB3","CACNB3",1455
"CADPS","CADPS",4131
"CALM1","CALM1",450
"CALM3","CALM3",450
"CAMK2B","CAMK2B",2004
"CAMK2N1","CAMK2N1",237
"CAMKK2","CAMKK2",1773
"CAMTA1","CAMTA1",5022
"CAMTA2","CAMTA2",3765
"CASKIN1","CASKIN1",4296
"CDC42BPA","CDC42BPA",5160
"CDK16","CDK16",1725
"CDK17","CDK17",1610
"CDK5R2","CDK5R2",1104
"CDKL5","CDKL5",3093
"CELF5","CELF5",1458
"CELSR2","CELSR2",8772
"CHN1","CHN1",1411
"CHN2","CHN2",1575
"CKB","CKB",1146
"CLASP2","CLASP2",4524
"CLCN3","CLCN3",2601
"CLEC16A","CLEC16A",3182
"CLIP3","CLIP3",1644
"CLSTN1","CLSTN1",2946
"CLTC","CLTC",5028
"CPE","CPE",1431
"CPLX1","CPLX1",405
"CPLX2","CPLX2",405
"CRTC1","CRTC1",1953
"CTBP1","CTBP1",1330
"CTNND2","CTNND2",3678
"CUX1","CUX1",5363
"CUX2","CUX2",4461
"CYFIP2","CYFIP2",3762
"DAB2IP","DAB2IP",3496
"DAGLA","DAGLA",3129
"DCAF6","DCAF6",2643
"DCTN1","DCTN1",3849
"DDN","DDN",2136
"DDX24","DDX24",2580
"DENND5A","DENND5A",3864
"DGCR2","DGCR2",1653
"DGKZ","DGKZ",3845
"DHX30","DHX30",3592
"DIP2B","DIP2B",4731
"DIRAS2","DIRAS2",600
"DISP2","DISP2",4206
"DLG2","DLG2",3121
"DLG4","DLG4",2334
"DLGAP1","DLGAP1",3005
"DLGAP3","DLGAP3",2940
"DLGAP4","DLGAP4",3090
"DMWD","DMWD",2025
"DNAJC6","DNAJC6",2742
"DNM1","DNM1",2555
"DOCK3","DOCK3",6093
"DOCK9","DOCK9",6397
"DOPEY1","DOPEY1",7398
"DPP8","DPP8",2697
"DTNA","DTNA",2314
"DTX1","DTX1",1863
"DUSP8","DUSP8",1878
"EGR1","EGR1",1632
"EIF4G3","EIF4G3",4758
"ELFN2","ELFN2",2463
"ELMO2","ELMO2",2163
"EML2","EML2",1950
"ENC1","ENC1",1770
"EPB41L1","EPB41L1",2646
"EPHA4","EPHA4",2961
"EPN1","EPN1",2064
"EXTL3","EXTL3",2760
"FAM115A","FAM115A",2770
"FAM120A","FAM120A",3357
"FAM160A2","FAM160A2",2961
"FAM171B","FAM171B",2481
"FAM179B","FAM179B",5163
"FAM21A","FAM21A",4026
"FAM65A","FAM65A",3692
"FASN","FASN",7536
"FBXL16","FBXL16",1440
"FBXL19","FBXL19",2085
"FBXO41","FBXO41",2628
"FCHO1","FCHO1",2684
"FKBP8","FKBP8",1242
"FOXK2","FOXK2",1983
"FOXO3","FOXO3",2022
"FRMPD4","FRMPD4",3969
"FRY","FRY",9042
"FSCN1","FSCN1",1482
"FYN","FYN",1770
"GABBR1","GABBR1",1115
"GABBR2","GABBR2",2826
"GARNL3","GARNL3",3042
"GAS7","GAS7",1485
"GBF1","GBF1",5583
"GIT1","GIT1",2313
"GLUL","GLUL",1122
"GNAL","GNAL",1522
"GNAZ","GNAZ",1068
"GNB1","GNB1",1023
"GPAM","GPAM",2487
"GPM6A","GPM6A",910
"GPR158","GPR158",3648
"GPR162","GPR162",1782
"GRIK3","GRIK3",2760
"GRIN1","GRIN1",2886
"GRIN2A","GRIN2A",4395
"GRM4","GRM4",2739
"GRM5","GRM5",3639
"HEATR5B","HEATR5B",6216
"HIPK1","HIPK1",3735
"HIPK2","HIPK2",3597
"HIPK3","HIPK3",3648
"HIVEP1","HIVEP1",8157
"HIVEP2","HIVEP2",7341
"HK1","HK1",2916
"HSP90AB1","HSP90AB1",2175
"HTT","HTT",9429
"HUWE1","HUWE1",13125
"IDS","IDS",1679
"IGSF9B","IGSF9B",3983
"INPP4A","INPP4A",3115
"INTS1","INTS1",6573
"IPO13","IPO13",2892
"IPO4","IPO4",3246
"IQSEC2","IQSEC2",4589
"IQSEC3","IQSEC3",3624
"IRS2","IRS2",4017
"ITSN1","ITSN1",5168
"JPH4","JPH4",1887
"KALRN","KALRN",9109
"KCNA2","KCNA2",1500
"KCNB1","KCNB1",2577
"KCNC3","KCNC3",2274
"KCND2","KCND2",1893
"KCNH1","KCNH1",2970
"KCNH7","KCNH7",3657
"KCNMA1","KCNMA1",3871
"KCNQ2","KCNQ2",2683
"KCNQ3","KCNQ3",2619
"KCNT1","KCNT1",3780
"KIAA0226","KIAA0226",2964
"KIAA0430","KIAA0430",5232
"KIAA0947","KIAA0947",6801
"KIAA1045","KIAA1045",1203
"KIAA1109","KIAA1109",15018
"KIAA1244","KIAA1244",6534
"KIAA2018","KIAA2018",6738
"KIF1B","KIF1B",6798
"KIF3C","KIF3C",2382
"KIF5A","KIF5A",3099
"KIF5C","KIF5C",2874
"KIFC2","KIFC2",2517
"KLC1","KLC1",1890
"KLHL22","KLHL22",1905
"KNDC1","KNDC1",5250
"LARGE","LARGE",2271
"LARS2","LARS2",2712
"LHFPL4","LHFPL4",744
"LINGO1","LINGO1",1863
"LMTK2","LMTK2",4512
"LPHN1","LPHN1",4425
"LPHN3","LPHN3",4410
"LPPR4","LPPR4",2292
"LRP3","LRP3",2313
"LRP8","LRP8",2892
"LRRC41","LRRC41",2439
"LRRC4B","LRRC4B",2142
"LRRC7","LRRC7",4614
"LRRC8B","LRRC8B",2412
"LRRN2","LRRN2",2142
"LYNX1","LYNX1",645
"MAGI2","MAGI2",4368
"MAN2A2","MAN2A2",3453
"MAP1A","MAP1A",8412
"MAP2","MAP2",5748
"MAP3K12","MAP3K12",2620
"MAP4K4","MAP4K4",3987
"MAP7D1","MAP7D1",2526
"MAPK1","MAPK1",1083
"MAPK4","MAPK4",1764
"MAPKBP1","MAPKBP1",4545
"MAST1","MAST1",4713
"MAST4","MAST4",7990
"MAZ","MAZ",1637
"MBP","MBP",1011
"MED16","MED16",2634
"MEF2D","MEF2D",1566
"MFHAS1","MFHAS1",3159
"MGAT5B","MGAT5B",2480
"MKL2","MKL2",3150
"MON2","MON2",5154
"MPRIP","MPRIP",3150
"MTSS1L","MTSS1L",2244
"MYCBP2","MYCBP2",13943
"MYO10","MYO10",6177
"MYO16","MYO16",5597
"MYO18A","MYO18A",6165
"NACAD","NACAD",4689
"NAT8L","NAT8L",909
"NAV3","NAV3",7092
"NCAN","NCAN",3966
"NCDN","NCDN",2190
"NCS1","NCS1",583
"NDRG2","NDRG2",1122
"NDRG4","NDRG4",1196
"NDST1","NDST1",2649
"NEDD4","NEDD4",4251
"NEURL","NEURL",1725
"NEURL4","NEURL4",4689
"NFIC","NFIC",1530
"NFIX","NFIX",1346
"NGEF","NGEF",2240
"NISCH","NISCH",4535
"NLGN2","NLGN2",2508
"NOMO1","NOMO1",3669
"NPAS2","NPAS2",2475
"NPTXR","NPTXR",1503
"NRGN","NRGN",237
"NRIP1","NRIP1",3477
"NRXN2","NRXN2",5404
"NRXN3","NRXN3",3552
"NSF","NSF",2235
"NTRK3","NTRK3",2774
"NWD1","NWD1",3803
"OGDH","OGDH",3241
"OLFM1","OLFM1",1410
"OXR1","OXR1",2740
"PCDH10","PCDH10",3183
"PCDH9","PCDH9",3714
"PCDHA4","PCDHA4",2856
"PCDHAC2","PCDHAC2",3114
"PCDHGA12","PCDHGA12",2838
